iso,name,population,comment
GB-NTH,Northamptonshire,,
GB-NBL,Northumberland,,
GB-NGM,Nottingham (City of),,
GB-NTT,Nottinghamshire,,
GB-OLD,Oldham,,
GB-OXF,Oxfordshire,,
GB-PTE,Peterborough,,
GB-PLY,Plymouth (City of),,
GB-POL,Poole,,
GB-POR,Portsmouth (City of),,
GB-RDG,Reading,,
GB-RDB,Redbridge,,
GB-RCC,Redcar and Cleveland,,
GB-RIC,Richmond upon Thames,,
GB-RCH,Rochdale,,
GB-ROT,Rotherharn,,
GB-RUT,Rutland,,
GB-SHN,St. Helens,,
GB-SLF,Salford (City of),,
GB-SAW,Sandweil,,
GB-SFT,Sefton,,
GB-SHF,Sheffield (City of),,
GB-SHR,Shropshire,,
GB-SLG,Slough,,
GB-SOL,Solihull,,
GB-SOM,Somerset,,
GB-SGC,South Gloucestershire,,
GB-STY,South Tyneside,,
GB-STH,Southampton (City of),,
GB-SOS,Southend-on-Sea,,
GB-SWK,Southwark,,
GB-STS,Staffordshire,,
GB-SKP,Stockport,,
GB-STT,Stockton-On-Tees,,
GB-STE,Stoke-on-Trent (City of),,
GB-SFK,Suffolk,,
GB-SND,Sunderland (City of),,
GB-SRY,Surrey,,
GB-STN,Sutton,,
GB-SWD,Swindon,,
GB-TAM,Tameside,,
GB-TFW,Telford and Wrekin,,
GB-THR,Thurrock,,
GB-TOB,Torbay,,
GB-TWH,Tower Hamlets,,
GB-TRF,Trafford,,
GB-WKF,Wakefield (City of),,
GB-WLL,Walsall,,
GB-WFT,Waltham Forest,,
GB-WND,Wandsworth,,
GB-WRT,Warrington,,
GB-WAR,Warwickshire,,
GB-WBK,West Berkshire,,
GB-WSX,West Sussex,,
GB-WSM,Westminster (City of),,
GB-WGN,Wigan,,
GB-WIL,Wiltshire,,
GB-WNM,Windsor and Maidenhead,,
GB-WRL,Wirral,,
GB-WOK,Wokingham,,
GB-WLV,Wolverhampton,,
GB-WOR,Worcestershire,,
GB-YOR,York (City of),,
GB-IOM,Isle of Man,83314,
GB-NIR,Northern Ireland,,
GB-ANT,Antrim,,
GB-ARD,Ards,,
GB-ARM,Armagh,,
GB-BLA,Ballymena,,
GB-BLY,Ballymoney,,
GB-BNB,Banbridge,,
GB-BFS,Belfast (City of),,
GB-CKF,Carrickfergus,,
GB-CSR,Castlereagh,,
GB-CLR,Coleraine,,
GB-CKT,Cookstown,,
GB-CGV,Craigavon,,
GB-DRY,Derry (City of),,
GB-DOW,Down,,
GB-DGN,Dungannon,,
GB-FER,Fermanagh,,
GB-LRN,Larne,,
GB-LMV,Limavady,,
GB-LSB,Lisburn,,
GB-MFT,Magherafelt,,
GB-MYL,Moyle,,
GB-NYM,Newry and Mourne,,
GB-NTA,Newtownabbey,,
GB-NDN,North Down,,
GB-OMH,Omagh,,
GB-STB,Strabane,,
GB-SCT,Scotland,,
GB-ABE,Aberdeen City,,
GB-ABD,Aberdeenshire,,
GB-ANS,Angus,,
GB-AGB,Argyll and Bute,,
GB-CLK,Clackmannanshire,,
GB-DGY,Dumfries and Galloway,,
GB-DND,Dundee City,,
GB-EAY,East Ayrshire,,
GB-EDU,East Dunbartonshire,,
GB-ELN,East Lothian,,
GB-ERW,East Renfrewshire,,
GB-EDH,"Edinburgh, City of",,
GB-ELS,Eilean Siar,,
GB-FAL,Falkirk,,
GB-FIF,Fife,,
GB-GLG,Glasgow City,,
GB-HLD,Highland,,
GB-IVC,Inverclyde,,
GB-MLN,Midlothian,,
GB-MRY,Moray,,
GB-NAY,North Ayrshire,,
GB-NLK,North Lanarkshire,,
GB-ORK,Orkney Islands,,
GB-PKN,Perth and Kinross,,
GB-RFW,Renfrewshire,,
GB-SCB,"Scottish Borders, The",,
GB-ZET,Shetland Islands,,
GB-SAY,South Ayrshire,,
GB-SLK,South Lanarkshire,,
GB-STG,Stirling,,
GB-WDU,West Dunbartonshire,,
GB-WLN,West Lothian,,
GB-WLS,Wales [Cymru],,
GB-BGW,Blaenau Gwent,,
GB-BGE,Bridgend [Pen-y-bont ar Ogwr GB-POG],,
GB-CAY,Caerphilly [Caerffili GB-CAF],,
GB-CRF,Cardiff (City of) [Caerdydd GB-CRD],,
GB-CMN,Carmarthenshire [Sir Gaerfyrddin GB-GFY],,
GB-CGN,Ceredigion [Sir Ceredigion],,
GB-CWY,Conwy,,
GB-DEN,Denbighshire [Sir Ddinbych GB-DDB],,
GB-FLN,Flintshire [Sir y Fflint GB-FFL],,
GB-GWN,Gwynedd,,
GB-AGY,Isle of Anglesey [Sir Ynys Man GB-YNM],,
GB-MTY,Merthyr Tydfil [Merthyr Tudful GB-MTU],,
GB-MON,Monmouthshire [Sir Fynwy GB-FYN],,
GB-NTL,Neath Port Talbot [Castell-nedd Port Talbot GB-CTL],,
GB-NWP,Newport [Casnewydd GB-CNW],,
GB-PEM,Pembrokeshire [Sir Benfro CB-BNF],,
GB-POW,Powys,,
GB-RCT,"Rhondda, Cynon, Taff [Rhondda, Cynon, Taf]",,
GB-SWA,Swansea (City of) [Abertawe GB-ATA],,
GB-TOF,Torfaen [Tor-faen],,
GB-VGL,"Vale of Glamorgan, The [Bro Morgannwg GB-BMG]",,
GB-WRX,Wrexham [Wrecsam GB-WRC],,
CA-AB,Alberta,4067175,
CA-BC,British Columbia (Colombie-Britannique),4648055,
CA-MB,Manitoba,1278365,
CA-NB,New Brunswick (Nouveau-Brunswick),747101,
CA-NL,Newfoundland and Labrador (Terre-Neuve),519716,
CA-NS,Nova Scotia (Nouvelle-Écosse),923598,
CA-NT,Northwest Territories (Territoires du Nord-Ouest),41786,
CA-NU,Nunavut,35944,
CA-ON,Ontario,13448494,
CA-PE,Prince Edward Island (Île-du-Prince-Édouard),142907,
CA-QC,Quebec (Québec),8164361,
CA-SK,Saskatchewan,1098352,
CA-YT,Yukon Territory (Teritoire du Yukon),35874,
CN-11,Beijing,19612368,
CN-12,Tianjin,12938224,
CN-13,Hebei,71854202,
CN-14,Shanxi,37327378,
CN-15,Nei Monggol,24706321,
CN-21,Liaoning,43746323,
CN-22,Jilin,27462297,
CN-23,Heilongjiang,38312224,
CN-31,Shanghai,23019148,
CN-32,Jiangsu,78659903,
CN-33,Zhejiang,54426891,
CN-34,Anhui,59500510,
CN-35,Fujian,36894216,
CN-36,Jiangxi,44567475,
CN-37,Shandong,100063065,
CN-41,Henan,94023567,
CN-42,Hubei,57237740,
CN-43,Hunan,65683722,
CN-44,Guangdong,104303132,
CN-45,Guangxi,46026629,
CN-46,Hainan,9261518,
CN-50,Chongqing,28846170,
CN-51,Sichuan,80418200,
CN-52,Guizhou,35806468,
CN-53,Yunnan,45966239,
CN-54,Xizang,3002166,
CN-61,Shaanxi,37327378,
CN-62,Gansu,25575254,
CN-63,Qinghai,5626722,
CN-64,Ningxia,6176900,
CN-65,Xinjiang,21813334,
CN-71,Taiwan,23162123,
CN-91,Hong Kong,7061200,
CN-MO,Macau,667400,
CN-NM,Inner Mongolia,25050000,
CN-XZ,Tibet,3180000,
GL-GL,Greenland,55992,
FO-FO,Faroe Islands,51783,
FR-GP,Guadeloupe,394110,
FR-GF,Guyane (francaise),269352,
FR-MQ,Martinique,376480,
FR-MF,Saint Martin,35107,
FR-RE,Réunion,852924,
FR-YT,Mayotte,256518,
FR-PM,Saint-Pierre-et-Miquelon,6008,
FR-NC,Nouvelle-Calédonie,271407,
FR-PF,Polynésie française,275918,
FR-WF,Wallis et Futuna,11558,
FR-BL,Saint Barthélemy,9793,
DE-BB,Brandenburg,2485000,
DE-BE,Berlin,3520000,
DE-BW,Baden-Württemberg,10880000,
DE-BY,Bayern,12844000,
DE-HB,Bremen,671000,
DE-HE,Hessen,6176000,
DE-HH,Hamburg,1787000,
DE-MV,Mecklenburg-Vorpommern,1612000,
DE-NI,Niedersachsen,7927000,
DE-NW,Nordrhein-Westfalen,17865000,
DE-RP,Rheinland-Pfalz,4053000,
DE-SH,Schleswig-Holstein,2859000,
DE-SL,Saarland,996000,
DE-SN,Sachsen,4085000,
DE-ST,Sachsen-Anhalt,2245000,
DE-TH,Thüringen,2171000,
NL-BQ,Caribbean Netherlands,25157,
NL-CW,Curacao,158665,
NL-DR,Drenthe,493449,
NL-FL,Flevoland,422202,
NL-FR,Friesland,649988,
NL-GE,Gelderland,2084478,
NL-GR,Groningen,585881,
NL-LI,Limburg,1118223,
NL-NB,Noord-Brabant,2562566,
NL-NH,Noord-Holland,2877909,
NL-OV,Overijssel,1162215,
NL-SX,Sint Maarten,41486,
NL-UT,Utrecht,1353596,
NL-ZE,Zeeland,383689,
NL-ZH,Zuid-Holland,3705625,
RU-AD,"Adygeya, Respublika",463453,
RU-AGB,Aginskiy Buryatskiy avtonomnyy okrug,76383,
RU-AL,"Altay, Respublika",220140,
RU-ALT,Altayskiy kray,2317052,
RU-AMU,Amurskaya Oblast',790676,
RU-ARK,Arkhangel'skaya Oblast',1136387,
RU-AST,Astrakhanskaya Oblast',1005967,
RU-BA,"Bashkortostan, Respublika",4037811,
RU-BEL,Belgorodskaya Oblast',1547532,
RU-BRY,Bryanskaya Oblast',1192570,
RU-BU,"Buryatiya, Respublika",986109,
RU-CE,Chechenskaya Respublika,1476752,
RU-CHE,Chelyabinskaya Oblast',3466960,
RU-CHI,Chitinskaya Oblast',1118931,
RU-CHU,Chukotskiy avtonomnyy okrug,50726,
RU-CU,Chuvashskaya Respublika,1217820,
RU-DA,"Dagestan, Respublika",3111353,
RU-EVE,Evenkiyskiy avtonomnyy okrug,16979,
RU-IN,Ingushskaya Respublika,506688,
RU-IRK,Irkutskaya Oblast',2390827,
RU-IVA,Ivanovskaya Oblast',997196,
RU-KAM,Kamchatskaya Oblast',312438,
RU-KB,Kabardino-Balkarskaya Respublika,868174,
RU-KC,Karachayevo-Cherkesskaya Respublika,465669,
RU-KDA,Krasnodarskiy kray,5677786,
RU-KEM,Kemerovskaya Oblast',2657758,
RU-KGD,Kaliningradskaya Oblast',1012253,
RU-KGN,Kurganskaya Oblast',826941,
RU-KHA,Khabarovskiy kray,1315310,
RU-KHM,Khanty-Mansiyskiy avtonomnyy okrug,1532243,
RU-KIR,Kirovskaya Oblast',1262549,
RU-KK,"Khakasiya, Respublika",534186,
RU-KL,"Kalmykiya, Respublika",271035,
RU-KLU,Kaluzhskaya Oblast',1000070,
RU-KO,"Komi, Respublika",820171,
RU-KOP,Komi-Permyatskiy avtonomnyy okrug,106775,
RU-KOR,Koryakskiy avtonomnyy okrug,22580,
RU-KOS,Kostromskaya Oblast',633392,
RU-KR,"Kareliya, Respublika",614628,
RU-KRS,Kurskaya Oblast',1103059,
RU-KYA,Krasnoyarskiy kray,2867875,
RU-LEN,Leningradskaya Oblast',1876392,
RU-LIP,Lipetskaya Oblast',1139492,
RU-MAG,Magadanskaya Oblast',140199,
RU-ME,"Mariy El, Respublika",679094,
RU-MO,"Mordoviya, Respublika",790829,
RU-MOS,Moskovskaya Oblast',7687647,
RU-MOW,Moskva,12692466,
RU-MUR,Murmanskaya Oblast',741511,
RU-NEN,Nenetskiy avtonomnyy okrug,44110,
RU-NGR,Novgorodskaya Oblast',596173,
RU-NIZ,Nizhegorodskaya Oblast',3203818,
RU-NVS,Novosibirskaya Oblast',2798251,
RU-OMS,Omskaya Oblast',1926562,
RU-ORE,Orenburgskaya Oblast',1956256,
RU-ORL,Orlovskaya Oblast',733682,
RU-PER,Permskaya Oblast',2599301,
RU-PNZ,Penzenskaya Oblast',1304825,
RU-PRI,Primorskiy kray,1895305,
RU-PSK,Pskovskaya Oblast',626046,
RU-ROS,Rostovskaya Oblast',4195327,
RU-RYA,Ryazanskaya Oblast',1108924,
RU-SA,"Sakha, Respublika [Yakutiya]",970105,
RU-SAK,Sakhalinskaya Oblast',488453,
RU-SAM,Samarskaya Oblast’,3179026,
RU-SAR,Saratovskaya Oblast',2421785,
RU-SE,"Severnaya Osetiya, Respublika [Alaniya]",697064,
RU-SMO,Smolenskaya Oblast',934747,
RU-SPE,Sankt-Peterburg,5392992,
RU-STA,Stavropol 'skiy kray,2803021,
RU-SVE,Sverdlovskaya Oblast',4310861,
RU-TA,"Tatarstan, Respublika",3902642,
RU-TAM,Tambovskaya Oblast',1006962,
RU-TAY,Taymyrskiy (Dolgano-Nenetskiy) avtonomnyy okrug,38372,
RU-TOM,Tomskaya Oblast’,1079051,
RU-TUL,Tul'skaya Oblast',1466025,
RU-TVE,Tverskaya Oblast',1260345,
RU-TY,"Tyva, Respublika [Tuva]",327388,
RU-TYU,Tyumenskaya Oblast',3755778,
RU-UD,Udmurtskaya Respublika,1501005,
RU-ULY,Ul'yanovskaya Oblast',1229687,
RU-UOB,Ust’-Ordynskiy Buryatskiy avtonomnyy okrug,123125,
RU-VGG,Volgogradskaya Oblast',2491751,
RU-VLA,Vladimirskaya Oblast',1358538,
RU-VLG,Vologodskaya Oblast',1160721,
RU-VOR,Voronezhskaya Oblast',2323657,
RU-YAN,Yamalo-Nenetskiy avtonomnyy okrug,544008,
RU-YAR,Yaroslavskaya Oblast',1253189,
RU-YEV,Yevreyskaya avtonomnaya oblast',158381,
RU-ZAB,Transbaikal territory,1059657,
RU-43,Republic of Crimea,1912025,unofficial iso and name!
RU-40,Sevastopol,448829,unofficial iso and name!
US-AL,Alabama,4903185,
US-AK,Alaska,731545,
US-AZ,Arizona,7278717,
US-AR,Arkansas,3017825,
US-CA,California,39512223,
US-CO,Colorado,5758736,
US-CT,Connecticut,3565287,
US-DE,Delaware,973764,
US-FL,Florida,21477737,
US-GA,Georgia,10617423,
US-HI,Hawaii,1415872,
US-ID,Idaho,1787147,
US-IL,Illinois,12671821,
US-IN,Indiana,6732219,
US-IA,Iowa,3155070,
US-KS,Kansas,2913314,
US-KY,Kentucky,4467673,
US-LA,Louisiana,4648794,
US-ME,Maine,1344212,
US-MD,Maryland,6045680,
US-MA,Massachusetts,6949503,
US-MI,Michigan,9986857,
US-MN,Minnesota,5639632,
US-MS,Mississippi,2976149,
US-MO,Missouri,6137428,
US-MT,Montana,1068778,
US-NE,Nebraska,1934408,
US-NV,Nevada,3080156,
US-NH,New Hampshire,1359711,
US-NJ,New Jersey,8882190,
US-NM,New Mexico,2096829,
US-NY,New York,19453561,
US-NC,North Carolina,10488084,
US-ND,North Dakota,762062,
US-OH,Ohio,11689100,
US-OK,Oklahoma,3956971,
US-OR,Oregon,4217737,
US-PA,Pennsylvania,12801989,
US-RI,Rhode Island,1059361,
US-SC,South Carolina,5148714,
US-SD,South Dakota,884659,
US-TN,Tennessee,6833174,
US-TX,Texas,28995881,
US-UT,Utah,3205958,
US-VT,Vermont,623989,
US-VA,Virginia,8535519,
US-WA,Washington,7614893,
US-WV,West Virginia,1792065,
US-WI,Wisconsin,5822434,
US-WY,Wyoming,578759,
US-DC,District of Columbia,705749,
US-AS,American Samoa,55641,
US-GU,Guam,165718,
US-MP,Northern Mariana Islands,55194,
US-PR,Puerto Rico,3193694,
US-UM,United States Minor Outlying Islands,300,
US-VI,"Virgin Islands, U.S.",104914,
GF-GF,French Guiana,290691,
PF-PF,French Polynesia,275918,
NC-NC,New Caledonia,271407,
RE-RE,Reunion,859959,
AW-AW,Aruba,112309,
BM-BM,Bermuda,71176,
KY-KY,Cayman Islands,68076,
GI-GI,Gibraltar,32194,
MS-MS,Montserrat,4649,
AI-AI,Anguilla,14731,
VG-VG,British Virgin Islands,31758,
TC-TC,Turks and Caicos Islands,31458,
FK-FK,Falkland Islands (Islas Malvinas),3398,
